"id","imsi","device","timestamp","rtt","upf","cpu","ram","bw_requested","bw_received","slice1_active_ues","slice2_active_ues","active_ues","admission_flag"
992,"999991000000081",uesimtun0,2025-06-09 13:50:26.000,"38.948",upf500,"0.0","0.4","5.0","12.55",1,0,1,1
993,"999991000000081",uesimtun0,2025-06-09 13:51:26.000,"42.009",upf500,"0.0","0.4","5.0","15.84",1,1,2,1
994,"999991000000082",uesimtun1,2025-06-09 13:51:26.000,"39.663",upf250,"22.2","0.7","5.0","12.5",1,1,2,1
995,"999991000000081",uesimtun0,2025-06-09 13:52:40.000,"38.813",upf500,"0.0","0.4","5.0","11.75",2,1,3,1
996,"999991000000082",uesimtun1,2025-06-09 13:52:40.000,"40.535",upf250,"18.8","0.9","5.0","12.6",2,1,3,1
997,"999991000000083",uesimtun2,2025-06-09 13:52:40.000,"14.983",upf500,"0.0","0.4","5.0","10.39",2,1,3,1
998,"999991000000081",uesimtun0,2025-06-09 13:54:05.000,"17.186",upf500,"0.0","0.4","5.0","7.32",2,2,4,1
999,"999991000000082",uesimtun1,2025-06-09 13:54:05.000,"18.347",upf250,"22.2","0.9","5.0","7.81",2,2,4,1
1000,"999991000000083",uesimtun2,2025-06-09 13:54:05.000,"19.501",upf500,"0.0","0.4","5.0","7.49",2,2,4,1
1001,"999991000000084",uesimtun3,2025-06-09 13:54:05.000,"18.908",upf250,"31.6","0.9","5.0","7.23",2,2,4,1
1002,"999991000000081",uesimtun0,2025-06-09 13:55:43.000,"17.459",upf500,"0.0","0.4","5.0","6.06",3,2,5,1
1003,"999991000000082",uesimtun1,2025-06-09 13:55:43.000,"18.738",upf250,"20.0","0.9","5.0","6.39",3,2,5,1
1004,"999991000000083",uesimtun2,2025-06-09 13:55:43.000,"14.270",upf500,"0.0","0.4","5.0","9.0",3,2,5,1
1005,"999991000000084",uesimtun3,2025-06-09 13:55:43.000,"18.636",upf250,"23.5","0.9","5.0","6.33",3,2,5,1
1006,"999991000000085",uesimtun4,2025-06-09 13:55:43.000,"18.014",upf500,"0.0","0.4","5.0","6.58",3,2,5,1
1007,"999991000000081",uesimtun0,2025-06-09 13:57:32.000,"19.765",upf500,"0.0","0.4","5.0","4.95",3,3,6,0
1008,"999991000000082",uesimtun1,2025-06-09 13:57:32.000,"18.228",upf250,"17.6","0.9","5.0","5.38",3,3,6,1
1009,"999991000000083",uesimtun2,2025-06-09 13:57:32.000,"19.328",upf500,"0.0","0.4","5.0","5.16",3,3,6,1
1010,"999991000000084",uesimtun3,2025-06-09 13:57:32.000,"17.345",upf250,"43.8","0.9","5.0","5.0",3,3,6,0
1011,"999991000000085",uesimtun4,2025-06-09 13:57:32.000,"16.210",upf500,"0.0","0.4","5.0","5.69",3,3,6,1
